jahr;schluessel;typ;gemeinde;amt_id;amt;landkreis_id;landkreis;region_id;region;einwohner_gesamt_anzahl;strukturdaten_einwohner_ew;strukturdaten_einwohner_quelle;strukturdaten_einwohner_dichte_ew_qkm;strukturdaten_einwohner_dichte_ew_quelle;strukturdaten_wohngebaeude_anzahl;strukturdaten_efm;strukturdaten_wohngebaeude_quelle;strukturdaten_wohnflaeche_100qm;strukturdaten_wohnflaeche_quelle;strukturdaten_bodenflaeche_qkm;strukturdaten_bodenflaeche_siedlung_prozent;strukturdaten_bodenflaeche_verkehr_prozent;strukturdaten_bodenflaeche_quelle;strukturdaten_beschaeftigte_dichte_b_1000ew;strukturdaten_beschaeftigte_dichte_b_1000ew_quelle;strukturdaten_einpendler_anzahl;strukturdaten_auspendler_anzahl;strukturdaten_pendler_quelle;strukturdaten_kfz_pkw_anzahl;strukturdaten_kfz_quelle;strukturdaten_kfz_pkw_elektro_anzahl;strukturdaten_kfz_pkw_elektro_quelle;strukturdaten_kfz_dichte_pkw_1000ew;strukturdaten_kfz_dichte_pkw_1000ew_quelle;mobilitaet_ladepunkte_anzahl;mobilitaet_ladestationen_quelle;verbrauch_strom_menge_kwh;verbrauch_strom_menge_quelle;verbrauch_strom_fehlende_quelle;verbrauch_strom_menge_einwohner_kwh_ew;verbrauch_strom_menge_einwohner_quelle;verbrauch_gas_menge_kwh;verbrauch_gas_menge_quelle;verbrauch_gas_fehlende_quelle;verbrauch_gas_menge_einwohner_kwh_ew;verbrauch_gas_menge_einwohner_quelle;verbrauch_waerme_menge_kwh;verbrauch_waerme_menge_quelle;verbrauch_waerme_fehlende_quelle;verbrauch_waerme_menge_einwohner_kwh_ew;verbrauch_waerme_menge_einwohner_quelle;stromerzeugung_speicher_gesamt_anzahl;stromerzeugung_speicher_gesamt_leistung_kw;stromerzeugung_speicher_gesamt_kapazitaet_kwh;stromerzeugung_speicher_klein_anzahl;stromerzeugung_speicher_klein_leistung_kw;stromerzeugung_speicher_klein_kapazitaet_kwh;stromerzeugung_speicher_quelle;stromerzeugung_fossil_leistung_kw;stromerzeugung_fossil_quelle;stromerzeugung_leistung_kw;stromerzeugung_bio_leistung_kw;stromerzeugung_photovoltaik_leistung_kw;stromerzeugung_wind_leistung_kw;stromerzeugung_leistung_quelle;stromerzeugung_leistung_einwohner_kw_ew;stromerzeugung_leistung_einwohner_quelle;stromerzeugung_menge_kwh;stromerzeugung_bio_menge_kwh;stromerzeugung_photovoltaik_menge_kwh;stromerzeugung_wind_menge_kwh;stromerzeugung_menge_quelle;stromerzeugung_menge_einwohner_kwh_ew;stromerzeugung_menge_einwohner_quelle;stromerzeugung_eeg-gesamt_menge_kwh;stromerzeugung_eeg-bio_menge_kwh;stromerzeung_eeg-photovoltaik_menge_kwh;stromerzeugung_eeg-wind_menge_kwh;stromerzeugung_eeg-menge_quelle;stromerzeugung_anteil_stromverbrauch_prozent;stromerzeugung_anteil_stromverbrauch_quelle;waermeerzeugung_leistung_kw;waermeerzeugung_bio_leistung_kw;waermeerzeugung_solar_leistung_kw;waermeerzeugung_waermepumpen_leistung_kw;waermeerzeugung_kwk_leistung_kw;waermeerzeugung_leistung_quelle;waermeerzeugung_leistung_einwohner_kw_ew;waermeerzeugung_leistung_einwohner_quelle;waermeerzeugung_menge_kwh;waermeerzeugung_bio_menge_kwh;waermeerzeugung_solar_menge_kwh;waermeerzeugung_waermepumpen_menge_kwh;waermeerzeugung_kwk_menge_kwh;waermeerzeugung_menge_quelle;waermeerzeugung_menge_einwohner_kwh_ew;waermeerzeugung_menge_einwohner_quelle
2010;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11248;11248,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";47,8964;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Bodenfläche nach Art der tatsächlichen Nutzung (Stand: 18.08.2020)";2760,0000;2360,0000;"Amt für Statistik Berlin-Brandenburg - Statistischer Bericht F I 1 - j/10 (Stand: 26.07.2016)";4530,0000;"Amt für Statistik Berlin-Brandenburg - Statistischer Bericht F I 1 - j/10 (Stand: 26.07.2016)";234,8400;;;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Bodenfläche nach Art der tatsächlichen Nutzung (Stand: 18.08.2020)";343,7055;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Sozialversicherungspflichtig Beschäftigte am Arbeits- und Wohnort, Ein- und Auspendler über Gemeindegrenzen (Stand: 31.08.2020), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";2189,0000;2380,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Sozialversicherungspflichtig Beschäftigte am Arbeits- und Wohnort, Ein- und Auspendler über Gemeindegrenzen (Stand: 31.08.2020)";5893,0000;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern  (FZ3) nach Gemeinden (Stand: 09.11.2016)";;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern (FZ1) nach Zulassungsbezirken (Daten ab Berichtsjahr 2016 nur für Landkreise vorhanden) (Stand: 18.08.2020)";523,9154;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern  (FZ3) nach Gemeinden (Stand: 09.11.2016), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";0,0000;"Bundesnetzagentur - Ladesäulenkarte - Veröffentlichung im Rahmen der Ladesäulenverordnung (Stand: 01.01.2023)";37887671,0000;"E.DIS Netz (Stand: 02.10.2018), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019)";;3368,3918;"E.DIS Netz (Stand: 02.10.2018), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";73963000,0000;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019)";;6575,6579;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";17665000,0000;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019)";;1570,5014;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";569,6000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";4113,2950;1094,0000;3000,7950;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";0,3657;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";10062993,7219;8396372,0000;1627159,7219;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015), Energieagentur Brandenburg - eigene Berechnung der Schätzung";894,6474;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";10031290,8609;8396372,0000;1595456,8609;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015)";26,56007471;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 01.05.2015), Energieagentur Brandenburg - eigene Berechnung der Schätzung, E.DIS Netz (Stand: 02.10.2018), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 20.11.2019)";1601,8000;782,1000;733,9000;85,8000;4178,0000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";0,1424;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";1928417,0000;1407780,0000;414931,4000;105705,6000;30653233,9600;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";171,4453;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)"
2011;12069020;"Amtsfreie Stadt";"Bad Belzig";;;12069000;Potsdam-Mittelmark;1;Havelland-Fläming;11161;11161,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";47,5260;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Bodenfläche nach Art der tatsächlichen Nutzung (Stand: 18.08.2020)";2778,0000;2374,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Wohngebäude- u. Wohnungsbestandes (Stand: 17.01.2017)";4559,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Wohngebäude- u. Wohnungsbestandes (Stand: 17.01.2017)";234,8400;;;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Bodenfläche nach Art der tatsächlichen Nutzung (Stand: 18.08.2020)";332,5867;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Sozialversicherungspflichtig Beschäftigte am Arbeits- und Wohnort, Ein- und Auspendler über Gemeindegrenzen (Stand: 31.08.2020), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";2153,0000;2576,0000;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Sozialversicherungspflichtig Beschäftigte am Arbeits- und Wohnort, Ein- und Auspendler über Gemeindegrenzen (Stand: 31.08.2020)";5931,0000;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern  (FZ3) nach Gemeinden (Stand: 27.07.2016)";;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern (FZ1) nach Zulassungsbezirken (Daten ab Berichtsjahr 2016 nur für Landkreise vorhanden) (Stand: 18.08.2020)";531,4040;"Kraftfahrt-Bundesamt - Fahrzeugzulassungen (FZ) Bestand an Kraftfahrzeugen und Kraftfahrzeuganhängern  (FZ3) nach Gemeinden (Stand: 27.07.2016), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";0,0000;"Bundesnetzagentur - Ladesäulenkarte - Veröffentlichung im Rahmen der Ladesäulenverordnung (Stand: 01.01.2023)";;;"E.DIS Netz";;"Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";65629000,0000;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.01.2020)";;5880,2079;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.01.2020), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";14903000,0000;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.01.2020)";;1335,2746;"Stadtwerke Bad Belzig (Stand: 20.11.2017), Energieagentur Brandenburg - eigene Aufbereitung (Stand: 03.01.2020), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";569,6000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";6362,0230;1094,0000;5234,5230;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023)";0,5700;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";8539420,6602;5530944,0000;2978821,6602;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013), Energieagentur Brandenburg - eigene Berechnung der Schätzung";765,1125;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013), Energieagentur Brandenburg - eigene Berechnung der Schätzung, Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";8497710,9678;5530944,0000;2937111,9678;0,0000;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013)";;"Marktstammdatenregister der Bundesnetzagentur (Stand: 14.12.2021), Marktstammdatenregister der Bundesnetzagentur - Aktualisierung (Stand: 13.03.2023), Marktstammdatenregister der Bundesnetzagentur - Korrektur durch Energieagentur Brandenburg (Stand: 23.03.2023), 50Hertz Transmission GmbH - EEG-Jahresabrechnung - Bewegungsdaten (Stand: 15.02.2013), Energieagentur Brandenburg - eigene Berechnung der Schätzung";1716,9000;844,1000;787,0000;85,8000;4178,0000;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";0,1538;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)";2097021,1000;1519380,0000;470133,7000;107507,4000;29077877,2800;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019)";187,8883;"Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Biomasse-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Solarthermie-Anlagen, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 05.07.2022), Bundesamt für Wirtschaft und Ausfuhrkontrolle - Auswertung bafa-Förderdatenbank Wärmepumpe, Energieagentur Brandenburg - eigene Aufbereitung (Stand: 15.11.2019), Statistische Ämter des Bundes und der Länder - Regionaldatenbank Deutschland - Fortschreibung des Bevölkerungsstandes (Stand: 01.09.2016)"
