"Datum";"Präfix";"Wasserstand(GOK) [cm u. GOK]";"Hinweise"
14.05.1997;"";596;"Geprüft"
01.06.1997;"";598;"Geprüft"
08.06.1997;"";599;"Geprüft"
15.06.1997;"";598;"Geprüft"
22.06.1997;"";598;"Geprüft"
01.07.1997;"";600;"Geprüft"
08.07.1997;"";602;"Geprüft"
15.07.1997;"";601;"Geprüft"
22.07.1997;"";601;"Geprüft"
01.08.1997;"";602;"Geprüft"
08.08.1997;"";602;"Geprüft"
15.08.1997;"";603;"Geprüft"
22.08.1997;"";605;"Geprüft"
01.09.1997;"";605;"Geprüft"
08.09.1997;"";605;"Geprüft"
15.09.1997;"";606;"Geprüft"
22.09.1997;"";606;"Geprüft"
01.10.1997;"";607;"Geprüft"
08.10.1997;"";607;"Geprüft"
15.10.1997;"";608;"Geprüft"
22.10.1997;"";608;"Geprüft"
01.11.1997;"";608;"Geprüft"
08.11.1997;"";609;"Geprüft"
15.11.1997;"";608;"Geprüft"
22.11.1997;"";609;"Geprüft"
01.12.1997;"";610;"Geprüft"
08.12.1997;"";610;"Geprüft"
15.12.1997;"";610;"Geprüft"
22.12.1997;"";610;"Geprüft"
01.01.1998;"";611;"Geprüft"
08.01.1998;"";611;"Geprüft"
15.01.1998;"";612;"Geprüft"
22.01.1998;"";610;"Geprüft"
01.02.1998;"";612;"Geprüft"
08.02.1998;"";612;"Geprüft"
15.02.1998;"";613;"Geprüft"
22.02.1998;"";612;"Geprüft"
01.03.1998;"";613;"Geprüft"
08.03.1998;"";613;"Geprüft"
15.03.1998;"";613;"Geprüft"
22.03.1998;"";613;"Geprüft"
01.04.1998;"";613;"Geprüft"
08.04.1998;"";613;"Geprüft"
15.04.1998;"";613;"Geprüft"
22.04.1998;"";615;"Geprüft"
01.05.1998;"";613;"Geprüft"
08.05.1998;"";616;"Geprüft"
15.05.1998;"";615;"Geprüft"
22.05.1998;"";617;"Geprüft"
01.06.1998;"";615;"Geprüft"
08.06.1998;"";617;"Geprüft"
15.06.1998;"";617;"Geprüft"
22.06.1998;"";617;"Geprüft"
01.07.1998;"";618;"Geprüft"
08.07.1998;"";617;"Geprüft"
15.07.1998;"";618;"Geprüft"
22.07.1998;"";618;"Geprüft"
01.08.1998;"";619;"Geprüft"
08.08.1998;"";620;"Geprüft"
15.08.1998;"";620;"Geprüft"
22.08.1998;"";621;"Geprüft"
01.09.1998;"";621;"Geprüft"
08.09.1998;"";622;"Geprüft"
15.09.1998;"";622;"Geprüft"
22.09.1998;"";622;"Geprüft"
01.10.1998;"";624;"Geprüft"
08.10.1998;"";623;"Geprüft"
15.10.1998;"";623;"Geprüft"
22.10.1998;"";623;"Geprüft"
01.11.1998;"";623;"Geprüft"
08.11.1998;"";622;"Geprüft"
15.11.1998;"";621;"Geprüft"
22.11.1998;"";621;"Geprüft"
01.12.1998;"";621;"Geprüft"
08.12.1998;"";622;"Geprüft"
15.12.1998;"";622;"Geprüft"
22.12.1998;"";622;"Geprüft"
01.01.1999;"";621;"Geprüft"
08.01.1999;"";621;"Geprüft"
15.01.1999;"";621;"Geprüft"
22.01.1999;"";621;"Geprüft"
01.02.1999;"";621;"Geprüft"
08.02.1999;"";621;"Geprüft"
15.02.1999;"";621;"Geprüft"
22.02.1999;"";621;"Geprüft"
01.03.1999;"";620;"Geprüft"
08.03.1999;"";619;"Geprüft"
15.03.1999;"";617;"Geprüft"
22.03.1999;"";617;"Geprüft"
01.04.1999;"";616;"Geprüft"
08.04.1999;"";616;"Geprüft"
15.04.1999;"";616;"Geprüft"
22.04.1999;"";616;"Geprüft"
01.05.1999;"";615;"Geprüft"
08.05.1999;"";616;"Geprüft"
