"Datum";"Präfix";"Wasserstand(GOK) [cm u. GOK]";"Hinweise"
25.01.2007;"";660;"Geprüft"
01.04.2008;"";523;"Geprüft"
02.04.2008;"";531;"Geprüft"
08.04.2008;"";524;"Geprüft"
15.04.2008;"";519;"Geprüft"
22.04.2008;"";515;"Geprüft"
01.05.2008;"";515;"Geprüft"
08.05.2008;"";511;"Geprüft"
15.05.2008;"";503;"Geprüft"
22.05.2008;"";504;"Geprüft"
01.06.2008;"";502;"Geprüft"
08.06.2008;"";508;"Geprüft"
15.06.2008;"";548;"Geprüft"
22.06.2008;"";565;"Geprüft"
01.07.2008;"";577;"Geprüft"
08.07.2008;"";576;"Geprüft"
15.07.2008;"";579;"Geprüft"
22.07.2008;"";584;"Geprüft"
01.08.2008;"";585;"Geprüft"
08.08.2008;"";587;"Geprüft"
15.08.2008;"";588;"Geprüft"
22.08.2008;"";589;"Geprüft"
31.08.2008;"";594;"Geprüft"
09.09.2008;"";596;"Geprüft"
15.09.2008;"";598;"Geprüft"
22.09.2008;"";596;"Geprüft"
01.10.2008;"";597;"Geprüft"
08.10.2008;"";599;"Geprüft"
15.10.2008;"";600;"Geprüft"
22.10.2008;"";601;"Geprüft"
01.11.2008;"";600;"Geprüft"
08.11.2008;"";599;"Geprüft"
15.11.2008;"";599;"Geprüft"
22.11.2008;"";600;"Geprüft"
01.12.2008;"";599;"Geprüft"
08.12.2008;"";599;"Geprüft"
15.12.2008;"";599;"Geprüft"
22.12.2008;"";600;"Geprüft"
01.01.2009;"";602;"Geprüft"
08.01.2009;"";606;"Geprüft"
15.01.2009;"";607;"Geprüft"
22.01.2009;"";605;"Geprüft"
01.02.2009;"";608;"Geprüft"
08.02.2009;"";608;"Geprüft"
15.02.2009;"";608;"Geprüft"
22.02.2009;"";608;"Geprüft"
01.03.2009;"";608;"Geprüft"
08.03.2009;"";608;"Geprüft"
15.03.2009;"";607;"Geprüft"
22.03.2009;"";609;"Geprüft"
01.04.2009;"";610;"Geprüft"
08.04.2009;"";610;"Geprüft"
15.04.2009;"";610;"Geprüft"
22.04.2009;"";610;"Geprüft"
01.05.2009;"";611;"Geprüft"
08.05.2009;"";610;"Geprüft"
15.05.2009;"";611;"Geprüft"
22.05.2009;"";611;"Geprüft"
01.06.2009;"";610;"Geprüft"
08.06.2009;"";610;"Geprüft"
15.06.2009;"";610;"Geprüft"
22.06.2009;"";609;"Geprüft"
01.07.2009;"";611;"Geprüft"
08.07.2009;"";613;"Geprüft"
15.07.2009;"";612;"Geprüft"
22.07.2009;"";612;"Geprüft"
01.08.2009;"";612;"Geprüft"
08.08.2009;"";613;"Geprüft"
15.08.2009;"";615;"Geprüft"
22.08.2009;"";616;"Geprüft"
01.09.2009;"";617;"Geprüft"
08.09.2009;"";619;"Geprüft"
15.09.2009;"";620;"Geprüft"
22.09.2009;"";622;"Geprüft"
01.10.2009;"";624;"Geprüft"
08.10.2009;"";625;"Geprüft"
15.10.2009;"";626;"Geprüft"
22.10.2009;"";627;"Geprüft"
01.11.2009;"";626;"Geprüft"
08.11.2009;"";626;"Geprüft"
15.11.2009;"";626;"Geprüft"
22.11.2009;"";625;"Geprüft"
01.12.2009;"";625;"Geprüft"
08.12.2009;"";625;"Geprüft"
15.12.2009;"";625;"Geprüft"
22.12.2009;"";625;"Geprüft"
01.01.2010;"";624;"Geprüft"
08.01.2010;"";624;"Geprüft"
15.01.2010;"";624;"Geprüft"
22.01.2010;"";624;"Geprüft"
01.02.2010;"";624;"Geprüft"
08.02.2010;"";624;"Geprüft"
15.02.2010;"";625;"Geprüft"
22.02.2010;"";628;"Geprüft"
01.03.2010;"";628;"Geprüft"
08.03.2010;"";628;"Geprüft"
15.03.2010;"";627;"Geprüft"
22.03.2010;"";625;"Geprüft"
01.04.2010;"";625;"Geprüft"
08.04.2010;"";624;"Geprüft"
15.04.2010;"";624;"Geprüft"
